Date,total_operations,total_defauts,Taux_Defaut,Indice_Defauts,Indice_Sains,Taux_Defaut_Scaled
2018-03-01,21821,64,0.0029329544933779385,100.0,100.0,50.0
2018-06-01,21924,65,0.0029647874475460683,101.5625,100.47202236377801,50.54267726008028
2018-09-01,22015,68,0.003088803088803089,106.25,100.88905183080519,52.65685328185328
2018-12-01,22118,72,0.003255267203182928,112.5,101.3610741945832,55.494676281761464
2019-03-01,22201,74,0.003333183189946399,115.625,101.74144173044314,56.822961240484666
2019-06-01,22294,67,0.003005292903920337,104.6875,102.16763668026215,51.23320035659818
2019-09-01,22350,68,0.0030425055928411633,106.25,102.4242701984327,51.867589485458616
2019-12-01,22433,68,0.0030312486069629563,106.25,102.80463773429264,51.67568425979584
2020-03-01,22527,68,0.003018599902339415,106.25,103.23541542550754,51.46005349136591
2020-06-01,25120,77,0.003065286624203822,120.3125,115.11846386508408,52.255952677149686
2020-09-01,25075,74,0.002951146560319043,115.625,114.91224050226845,50.310132103688936
2020-12-01,25067,67,0.0026728367973830134,104.6875,114.87557857110122,45.565602934136514
2021-03-01,25069,73,0.002911962982169213,114.0625,114.88474405389304,49.64214393274562
2021-06-01,24843,69,0.0027774423378818984,107.8125,113.84904449841895,47.34888223040696
2021-09-01,24917,69,0.002769193723160894,107.8125,114.18816736171577,47.20826268210459
2021-12-01,24959,67,0.002684402419968749,104.6875,114.3806425003437,45.762769692295365
2022-03-01,25024,70,0.002797314578005115,109.375,114.6785206910774,47.68765734894501
2022-06-01,25082,71,0.002830715253966988,110.9375,114.94431969203977,48.25706059126066
2022-09-01,25179,72,0.0028595257953056116,112.5,115.38884560744238,48.74821279637793
2022-12-01,25129,72,0.0028652154880814996,112.5,115.1597085376472,48.845208722989376
